company_name,website,country,industry,buyer_type,product_interest,contact_person,email,whatsapp,phone,linkedin,source,evidence,lead_score,run_id,collected_at,search_query
"Oil, Gas & Petrochemical Industrial Products & Supply",https://www.grayfordindustrial.com/,,Petrochemicals,Potential buyer / industrial consumer,Petrochemicals,,sales@grayford.com,,36500504-1,,You.com,"Grayford Industrial is a global engineering company specialising in the procurement of spare parts and equipment used in the Oil, Gas, Mining, Power, Manufacturing and Petrochemical Industry Suppliers.",1,,,
Procurement services | Supply chain management | Petrofac,https://www.petrofac.com/services/project-execution/procurement,,,Potential buyer / industrial consumer,,,rodrigue.elchemaly@petrofac.com,,3024-4506,,You.com,"We provide sourcing, expediting and logistics support to our projects worldwide, prioritising local content to drive in-country value",1,,,
High Paying Houston careers in Petrochemical,https://petrochemworks.com/job-types/logistics-supply-chain-procurement,,Petrochemicals,Potential buyer / industrial consumer,Petrochemicals,,crafttraining@cmefhouston.org,,0 0 48 48,,You.com,"The Petrochemical Industry has many openings for jobs in Logistics and Supply Chain. Learn more, we are hiring now!",1,,,
Petrochemical.com — Global B2B Chemical Directory | Petroche...,https://www.petrochemical.com/,,Petrochemicals,Potential buyer / industrial consumer,Petrochemicals,,,,,,You.com,Join the directory to receive direct buyer inquiries and featured placement. ... Industrial Scientific specializes in fixed and portable gas detection solutions and software that help petrochemical plants maintain compliance with safety regulations and improve worker safety. ... Join 643+ companies already listed and get discovered by procurement ...,0,,,
Procurement categories for chemical manufacturers: A brief guide ...,https://lightsource.ai/blog/chemical-procurement,,Chemicals,Potential buyer / industrial consumer,Chemicals,,press@lightsource.ai,,+0152-0153,,You.com,"A brief guide to the procurement categories that matter most for chemical manufacturers, from raw materials to safety and compliance.",1,,,
$23-$69/hr Petrochemical Procurement Jobs (NOW HIRING),https://www.ziprecruiter.com/Jobs/Petrochemical-Procurement,,Petrochemicals,Potential buyer / industrial consumer,Petrochemicals,,,,,,You.com,"Browse 1000+ PETROCHEMICAL PROCUREMENT jobs ($23-$69/hr) hiring now. New openings posted daily. Apply early, get seen first & 1-click apply today!",0,,,
How to Choose the Right Oil and Gas Procurement Company - PCCS,https://www.pccs.com.sg/choose-the-right-oil-and-gas-procurement-company/,,,Potential buyer / industrial consumer,,,sales@pccs.com.sg,,1736498132,,You.com,"Find the right oil and gas procurement company to ensure efficient sourcing, compliance, and cost savings in your energy supply chain.",1,,,
Petrochemical - Körber Supply Chain,https://koerber-supplychain.com/industries/petrochemical/,,Petrochemicals,Potential buyer / industrial consumer,Petrochemicals,,,,1998-2026,,You.com,"The complexity of petrochemical supply chain management is rooted in the overarching requirement to ensure continued operation of the plants and removal of finished goods. This makes it essential to integrate and synchronize processes, from procurement and delivery timings of raw materials, ...",1,,,
"Procurement Manager Petrochemical Jobs, Employment | Indeed",https://www.indeed.com/q-procurement-manager-petrochemical-jobs.html,,Petrochemicals,Potential buyer / industrial consumer,Petrochemicals,,,,,,You.com,"747 Procurement Manager Petrochemical jobs available on Indeed.com. Apply to Procurement Manager, Sourcing Manager, Director of Procurement and more!",0,,,
7 Chemical buyer jobs in United States | Glassdoor,"https://www.glassdoor.com/Job/chemical-buyer-jobs-SRCH_KO0,14.htm",,Chemicals,Potential buyer / industrial consumer,Chemicals,,,,,,You.com,Search Chemical buyer jobs. Get the right Chemical buyer job with company ratings & salaries. 7 open jobs for Chemical buyer.,0,,,
Procurement of Petrochemical Pipeline Equipment,http://cpp.cnpc.com.cn/kexinen/sbdcg/sbdcg.shtml,,Petrochemicals,Potential buyer / industrial consumer,Petrochemicals,,,,,,You.com,"Procurement of petrochemical pipeline equipment: Provide you with ""one-stop"" service KSCC has the capability to purchase pipeline project materials and equipment, and can provide a ""one-stop"" material supply service for customers at home and abroad, such as the services from the preliminary ...",0,,,
Sr Buyer,https://www.westlaketalent.com/sr-buyer/job/94FD95ECAB06DE703D1232B1393CB8B9,,Petrochemicals,Potential buyer / industrial consumer,Petrochemicals,,,,2026-05-22,,You.com,"SUMMARYThis position is responsible for purchasing supplies and services in accordance with Purchasing Department policies and procedures.  This position, as required, may be tasked with managing supply contracts.  As needed, this position will confer with Purchasing management regarding specifications, quantity and quality of material and preferred vendors. This position is for procurement personnel with a minimum of 7 years prior experience in the petrochemical purchasing field.  An individual",1,,,
PetrochemWorks: Procurement Buyer,https://petrochemworks.com/job/procurement-buyer,,,Potential buyer / industrial consumer,,,crafttraining@cmefhouston.org,,0 0 48 48,,You.com,Procurement Buyers negotiate to buy the components the company needs to make products.,1,,,
$23-$79/hr Oilfield Procurement Jobs (NOW HIRING) Apr 2026,https://www.ziprecruiter.com/Jobs/Oilfield-Procurement,,,Potential buyer / industrial consumer,,,,,,,You.com,,0,,,
Buyer jobs in Procurement & Supply Chain,https://www.michaelpage.com/jobs/buyer/procurement-supply-chain,,,Potential buyer / industrial consumer,,,,,082026-7085945,,You.com,Search for Buyer jobs in Procurement & Supply Chain at some of the world's top companies using USA's leading recruitment consultancy - Michael Page.,1,,,
